"Year","Quarter","Sales"
2000,1,2385
2000,2,2687
2000,3,3107
2000,4,4315
2001,1,2964
2001,2,3169
2001,3,3732
2001,4,5462
2002,1,3697
2002,2,4164
2002,3,4756
2002,4,6980
2003,1,4202
2003,2,4624
2003,3,5131
2003,4,6989
2004,1,4668
2004,2,5396
2004,3,6034
2004,4,8449
2005,1,5479
2005,2,6080
2005,3,6647
2005,4,9227
2006,1,6118
2006,2,6702
2006,3,7335
2006,4,10693
2007,1,6959
2007,2,7603
2007,3,8473
2007,4,12899
2008,1,7927
2008,2,8750
2008,3,9928
2008,4,13418
2009,1,8990
2009,2,9801
