"Minutes"
11.7
14.6
10
13.2
13.4
12.2
11.6
10.9
13.2
14.6
10.6
11.7
10.7
12.4
11
10.1
12.3
10.6
10.3
10.7
14
10.7
11.4
15.5
13.9
10
11.6
10.3
11.3
11.8
11.3
10.9
11.2
13.1
13.3
10.7
12.1
11.5
17
12.9
14.1
10.7
10
11
10.6
11.5
14.8
10.2
13.9
10.9
