"Points.per.Minute"
0.86486
1.16667
0.61111
0.7381
0.95
0.89474
0.80952
0.70213
0.63415
0.85
0.61364
0.61111
0.78947
0.68293
0.90698
0.57143
0.75
0.8
0.39535
0.56818
0.51163
