"Variances..Percent."
3.5
-1.27
1.01
-0.01
-11.98
3.06
-2.62
1.1
0.52
3.56
7.69
-3.8
-4.26
3.19
-0.13
-6.01
3.09
3.01
-3.28
4.28
1.63
1.43
2.92
4.56
3.04
2.25
2.42
3.86
-1.98
-2.62
5.01
2.18
5.51
5.81
-3.54
-1.86
-4.67
-2.29
1.69
4.25
