"MPG","CarClass"
15,"Luxury Sedan"
15,"Luxury Sedan"
15,"Luxury Sedan"
15,"Luxury Sedan"
15,"Luxury Sedan"
15,"Luxury Sedan"
14,"Luxury Sedan"
14,"Luxury Sedan"
14,"Luxury Sedan"
14,"Luxury Sedan"
13,"Luxury Sedan"
13,"Luxury Sedan"
13,"Luxury Sedan"
13,"Luxury Sedan"
12,"Luxury Sedan"
12,"Luxury Sedan"
12,"Luxury Sedan"
12,"Luxury Sedan"
11,"Luxury Sedan"
11,"Luxury Sedan"
11,"Luxury Sedan"
11,"Luxury Sedan"
11,"Luxury Sedan"
11,"Luxury Sedan"
11,"Luxury Sedan"
10,"Luxury Sedan"
10,"Luxury Sedan"
10,"Luxury Sedan"
10,"Luxury Sedan"
10,"Luxury Sedan"
9,"Luxury Sedan"
9,"Luxury Sedan"
22,"Minivan"
21,"Minivan"
17,"Minivan"
17,"Minivan"
17,"Minivan"
17,"Minivan"
17,"Minivan"
17,"Minivan"
17,"Minivan"
16,"Minivan"
16,"Minivan"
16,"Minivan"
16,"Minivan"
16,"Minivan"
16,"Minivan"
16,"Minivan"
21,"Pickup Truck"
21,"Pickup Truck"
21,"Pickup Truck"
21,"Pickup Truck"
20,"Pickup Truck"
20,"Pickup Truck"
20,"Pickup Truck"
19,"Pickup Truck"
19,"Pickup Truck"
19,"Pickup Truck"
19,"Pickup Truck"
18,"Pickup Truck"
18,"Pickup Truck"
18,"Pickup Truck"
18,"Pickup Truck"
18,"Pickup Truck"
18,"Pickup Truck"
18,"Pickup Truck"
18,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
17,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
16,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
15,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
14,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
13,"Pickup Truck"
12,"Pickup Truck"
12,"Pickup Truck"
12,"Pickup Truck"
12,"Pickup Truck"
12,"Pickup Truck"
34,"SUV"
34,"SUV"
34,"SUV"
29,"SUV"
29,"SUV"
29,"SUV"
25,"SUV"
23,"SUV"
23,"SUV"
23,"SUV"
23,"SUV"
23,"SUV"
23,"SUV"
22,"SUV"
22,"SUV"
22,"SUV"
22,"SUV"
22,"SUV"
22,"SUV"
22,"SUV"
22,"SUV"
22,"SUV"
22,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
21,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
20,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
19,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
18,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
17,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
16,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
15,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
14,"SUV"
