"Pounds.Treated"
34646
37964
42604
41002
38969
41328
38339
32498
39086
36945
24573
36963
43818
42708
40935
39947
39863
37341
41844
44686
47003
33642
44295
40481
41163
39805
41005
41002
34680
40736
38458
36009
42383
40424
35480
41275
34817
38121
35539
32552
31934
42004
40819
39022
39002
37490
28208
36351
42186
44946
32251
39051
34168
38089
40944
41384
36550
30070
36881
31693
31413
27206
39692
31934
27383
29155
31778
31861
38146
18020.7
13025.5
40069
37757.9
20160.3
19284.3
19586.8
18092
20167.1
20943.5
20135
27823
59074
49402
54633
46471
57395
41362
1500
2500
2000
