"Date","Apple.Return","Dell.Return"
"4/2/2001",15.49614862,2.14091086
"5/1/2001",-21.73401334,-7.164634146
"6/1/2001",16.54135338,7.348111658
"7/2/2001",-19.1827957,2.982791587
"8/1/2001",-1.277275146,-20.60898626
"9/4/2001",-16.38814016,-13.33021515
"10/1/2001",13.21727917,29.41176471
"11/1/2001",21.29840547,16.47206005
"12/3/2001",2.816901408,-2.68528464
"1/2/2002",12.87671233,1.140544518
"2/1/2002",-12.21682848,-10.18552201
"3/1/2002",9.078341014,5.751316322
"4/1/2002",2.534854246,0.880888548
"5/1/2002",-3.996703749,1.936218679
"6/3/2002",-23.94849785,-2.644320298
"7/1/2002",-13.88261851,-4.628921194
"8/1/2002",-3.342070773,6.778981147
"9/3/2002",-1.694915254,-11.68294515
"10/1/2002",10.82758621,21.69289664
"11/1/2002",-3.546981954,-0.034952814
"12/2/2002",-7.548387097,-6.503496503
"1/2/2003",0.209351012,-10.77038145
"2/3/2003",4.526462396,12.99245599
"3/3/2003",-5.796135909,1.298219585
"4/1/2003",0.565770863,6.114976199
"5/1/2003",26.23066104,8.247066943
"6/2/2003",6.183844011,1.498246733
"7/1/2003",10.59811123,5.778894472
"8/1/2003",7.258064516,-3.147268409
"9/2/2003",-8.359133127,2.452483139
"10/1/2003",10.47297297,7.719928187
"11/3/2003",-8.650065531,-3.972222222
"12/1/2003",2.199904352,-1.706682094
"1/2/2004",5.568554048,-1.5891701
"2/2/2004",6.028368794,-2.362440191
"3/1/2004",13.04347826,2.970903522
"4/1/2004",-4.659763314,3.450327186
"5/3/2004",8.844065167,1.322599195
"6/1/2004",15.9657876,1.645856981
"7/1/2004",-0.61462815,-0.977107761
"8/2/2004",6.648113791,-1.776148858
"9/1/2004",12.3514062,2.181400689
"10/1/2004",35.22580645,-1.516853933
"11/1/2004",27.95801527,15.57330291
"12/1/2004",-3.952274422,3.998025666
"1/3/2005",19.40993789,-0.901756051
"2/1/2005",-41.66449935,-3.999042146
"3/1/2005",-7.111012037,-4.165627338
"4/1/2005",-13.46292297,-9.344091619
"5/2/2005",10.26067665,14.64254953
"6/1/2005",-7.419517103,-1.177059855
"7/1/2005",15.86525401,2.559553979
"8/1/2005",9.941383353,-12.03360514
"9/1/2005",14.33141395,-3.93258427
"10/3/2005",7.423988062,-6.783625731
"11/1/2005",17.76350061,-5.426599749
"12/1/2005",6.001179593,-0.663349917
"1/3/2006",5.035470858,-2.136894825
"2/1/2006",-9.296781883,-1.057659502
"3/1/2006",-8.424587531,2.620689655
"4/3/2006",12.22895408,-11.96236559
"5/1/2006",-15.08737037,-3.129770992
"6/1/2006",-4.182700351,-3.624901497
"7/3/2006",18.66596822,-11.36549469
"8/1/2006",-0.161859918,4.012915129
"9/1/2006",13.45615328,1.286031042
"10/2/2006",5.326058717,6.523642732
"11/1/2006",13.04884065,11.96054254
"12/1/2006",-7.44054113,-7.892804699
"1/3/2007",1.049033475,-3.467516939
"2/1/2007",-1.306427155,-5.656482246
"3/1/2007",9.809715164,1.575492341
"4/2/2007",7.415778711,8.616975442
"5/1/2007",21.43286573,6.743355811
"6/1/2007",0.701378001,6.094388703
"7/2/2007",7.96460177,-2.031523643
"8/1/2007",5.100182149,1.001072578
"9/4/2007",10.82466782,-2.300884956
"10/1/2007",23.77011794,10.86956522
"11/1/2007",-4.069491972,-19.80392157
"12/3/2007",8.70376468,-0.122249389
"1/2/2008",-31.66397415,-18.2374541
"2/1/2008",-7.638888889,-0.698602794
"3/3/2008",14.78163494,0.100502513
"4/1/2008",21.2195122,-6.475903614
"5/1/2008",8.508192009,23.77885132
"6/2/2008",-11.29006623,-5.117085863
"7/1/2008",-5.070473005,12.29433272
"8/1/2008",6.656181189,-11.55881156
"9/2/2008",-32.95581903,-24.16014726
